zipcode,office,official,phones,emails,website
70815,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
71457,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
71457,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
71457,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
71457,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
71457,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
71457,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
71457,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
71457,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70508,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70508,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70508,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70508,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70508,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70508,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70508,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70508,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70663,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70663,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70663,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70663,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70663,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70663,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70663,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70663,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
70817,Governor of Louisiana,John Bel Edwards,['(225) 342-7015'],,
70817,Lieutenant Governor of Louisiana,Billy Nungesser,['(225) 342-7009'],['ltgov@crt.la.gov'],
70817,LA State Treasurer,John M. Schroder,['(225) 342-0010'],,
70817,LA Commissioner of Agriculture and Forestry,Mike Strain,['(225) 922-1234'],['commissioner@ldaf.state.la.us'],
70817,LA Board of Elementary and Secondary Education Member,Doris Voitier,['(225) 342-5840'],['doris.voitier@la.gov'],
70817,LA Commissioner of Insurance,Belinda Davis,['(225) 342-5840'],['belinda.davis@la.gov'],
70817,LA Attorney General,Thomas Roque,['(225) 342-5840'],['thomas.roque@la.gov'],
70817,LA Secretary of State,Jim Donelson,['(225) 342-5423'],['commissioner@ldi.la.gov'],
